customer_id,full_name,total_spent,transaction_count,days_since_registration,avg_order_value
CUST0001,Brady Casey,236466.54,14,108,5630.16
CUST0002,Daniel James,83941.37,8,117,3357.65
CUST0003,Erica Greene,108889.84,8,35,4949.54
CUST0004,Erin Shah,98437.13,8,14,4687.48
CUST0005,Daniel Chambers,105414.99,8,694,4583.26
CUST0006,Joshua Mcbride,117566.57,8,174,4898.61
CUST0007,Kelly Gonzalez,147996.34,9,312,5103.32
CUST0008,Gail Davis,195440.98,9,528,6107.53
CUST0009,Savannah Palmer,103563.72,9,98,5450.72
CUST0010,Rhonda Kim,112118.9,10,604,4484.76
CUST0011,Megan Miller,95504.35,5,22,4341.11
CUST0012,Christina Young,143217.92,11,456,4212.29
CUST0013,Christopher Bell,88771.32,8,713,3698.81
CUST0014,Ryan Matthews,209687.73,13,29,4558.43
CUST0015,Paul Wilson,127621.4,9,424,4726.72
CUST0016,William Brewer,103660.76,9,378,3702.17
CUST0017,Nichole Brewer,62180.24,4,681,5652.75
CUST0018,Victoria Dean,67659.68,7,676,4510.65
CUST0019,Billy Morse,270678.69,16,574,4921.43
CUST0020,Kiara White,198011.54,15,596,4714.56
CUST0021,Frederick Smith,66917.47,6,10,4461.16
CUST0022,Rachel Adams,96394.61,9,180,4191.07
CUST0023,Stephanie Dixon,86510.36,7,366,3761.32
CUST0024,William Phelps,90548.37,7,239,3772.85
CUST0025,Nicole Boyd,69136.12,7,465,3456.81
CUST0026,Joshua Novak,121141.96,10,645,5047.58
CUST0027,Nicole Young,189366.81,8,352,5917.71
CUST0028,William Edwards,107532.71,7,288,4301.31
CUST0029,Rodney Meyer,102609.4,5,397,5400.49
CUST0030,Theodore Edwards,114320.14,7,26,6724.71
CUST0031,Jessica Johnson,187213.27,13,664,5348.95
CUST0032,Catherine Roman,107048.16,6,616,4460.34
CUST0033,Bradley Fleming,183635.46,12,83,4478.91
CUST0034,Sherry Dean,142962.13,8,57,5956.76
CUST0035,Christine Swanson,130066.75,9,29,4645.24
CUST0036,Amanda Mathews,139317.11,7,330,5358.35
CUST0037,Keith Ford,41700.09,6,125,3790.92
CUST0038,Justin Carr,110733.49,9,370,4258.98
CUST0039,Sara Potter,217936.98,13,291,4953.11
CUST0040,Sara Diaz,135934.96,9,349,4687.41
CUST0041,Adam Suarez,168932.41,12,473,4565.74
CUST0042,David Hogan,143472.29,12,144,3877.63
CUST0043,Rachael Brown,147631.05,10,165,4762.29
CUST0044,Corey Kane,205768.51,13,32,4572.63
CUST0045,Jason Short,43386.52,5,592,3615.54
CUST0046,Andrea Neal,118326.05,9,464,5634.57
CUST0047,Stephanie Haney,216047.12,19,347,4154.75
CUST0048,Chloe Jones,45601.59,7,89,3257.26
CUST0049,Thomas Flowers,114620.34,6,453,5210.02
CUST0050,Katherine Parker,298306.67,19,79,4971.78
CUST0051,Harold Brown,155542.89,12,51,3988.28
CUST0052,Michael Patrick,203099.23,14,569,4513.32
CUST0053,Jeffrey Kennedy,215456.24,14,710,4683.83
CUST0054,Natasha Spence,40836.25,4,604,4537.36
CUST0055,Holly Rogers,18443.67,3,14,3688.73
CUST0056,Dana Brown,92657.01,8,623,4028.57
CUST0057,Amy Valdez,160318.24,10,219,4580.52
CUST0058,Ashlee Williams,278038.11,19,249,5148.85
CUST0059,Luke Valenzuela,47287.3,6,476,3377.66
CUST0060,Isaiah Peterson,269482.32,16,88,4990.41
CUST0061,Jamie Lee,39561.3,2,207,4395.7
CUST0062,Mark Green,170733.13,12,365,5021.56
CUST0063,Margaret Gordon,83388.91,7,119,5956.35
CUST0064,Joseph Carter,183197.06,12,477,4468.22
CUST0065,Jennifer Lewis,79100.71,7,714,5273.38
CUST0066,Kimberly Russell,127917.33,12,321,4126.37
CUST0067,Christopher Thornton,25595.1,4,21,2326.83
CUST0068,Hector Williams,105744.39,7,105,5874.69
CUST0069,Derrick Brooks,154862.03,11,12,4424.63
CUST0070,Jason Williams,198819.43,15,298,4230.2
CUST0071,Lori Mason,133196.81,8,551,5122.95
CUST0072,Lisa Keller,114206.79,9,228,3938.17
CUST0073,Chad Harvey,107935.3,12,55,3083.87
CUST0074,Kristen Powell,77911.28,8,240,4328.4
