customer_id,first_name,last_name,email,phone,registration_date,city,state,country,age_group
CUST0001,James,Garza,customer1@example.com,0373110085833,2024-10-08,Lake Hannah,Wisconsin,India,46-60
CUST0002,Michael,Santiago,customer2@example.com,5515910116477,2025-09-21,Veronicashire,Ohio,India,26-35
CUST0003,Jack,Shaw,customer3@example.com,7610056292478,2024-04-13,Zacharyview,Hawaii,India,36-45
CUST0004,Stephanie,Fuller,customer4@example.com,8892478726371,2024-01-12,Jamesville,New Mexico,India,18-25
CUST0005,Michael,Wright,customer5@example.com,0418090073514,2025-10-31,East Toddhaven,Michigan,India,26-35
CUST0006,James,Washington,customer6@example.com,0654288365085,2025-04-03,Denniston,Mississippi,India,18-25
CUST0007,Hailey,Palmer,customer7@example.com,1740023571288,2024-12-03,Lake Sara,West Virginia,India,26-35
CUST0008,Brenda,Meyers,customer8@example.com,8016540634667,2025-11-05,West Charles,Colorado,India,18-25
CUST0009,Emily,Brooks,customer9@example.com,5228322454041,2025-05-14,Brittanyhaven,Oregon,India,36-45
CUST0010,Juan,Aguilar,customer10@example.com,7518431977551,2025-06-09,West Sara,Alabama,India,46-60
CUST0011,Andrew,Martinez,customer11@example.com,4478019867428,2025-04-16,Blevinsside,Nebraska,India,46-60
CUST0012,Erica,Lawson,customer12@example.com,8891606610048,2024-03-15,Chenborough,Wyoming,India,36-45
CUST0013,Jose,Carson,customer13@example.com,7295838573916,2024-11-13,South Brittany,Colorado,India,60+
CUST0014,Christine,Adams,customer14@example.com,5095656484675,2025-07-31,New William,Kentucky,India,46-60
CUST0015,Daniel,Sullivan,customer15@example.com,5426395213423,2024-10-10,Ashleyfurt,Indiana,India,46-60
CUST0016,Phillip,Rios,customer16@example.com,0326558068349,2025-10-17,Lake Jay,Maine,India,36-45
CUST0017,Brandon,Williams,customer17@example.com,3471345686598,2025-06-12,Marshallmouth,Connecticut,India,60+
CUST0018,Nichole,Bruce,customer18@example.com,1121216499178,2024-05-11,North Erica,California,India,60+
CUST0019,Brittany,Graham,customer19@example.com,5240492745438,2024-09-20,Holtfort,Oregon,India,26-35
CUST0020,George,Carter,customer20@example.com,3356099285672,2024-03-01,Sweeneyland,Missouri,India,60+
CUST0021,Anthony,Anderson,customer21@example.com,3155111220657,2024-09-13,Pachecoview,New Mexico,India,36-45
CUST0022,Jamie,Erickson,customer22@example.com,0885112038763,2024-11-14,West Jerryview,New Hampshire,India,26-35
CUST0023,Donna,Lewis,customer23@example.com,0655772219524,2025-11-25,Lake Stephanie,North Carolina,India,36-45
CUST0024,Jean,Villarreal,customer24@example.com,3745183511992,2024-06-10,Valeriefort,Vermont,India,36-45
CUST0025,Michael,Hernandez,customer25@example.com,7795298853777,2025-01-09,Guerraland,South Carolina,India,60+
CUST0026,Elizabeth,Bauer,customer26@example.com,7317475103657,2025-05-03,New Tina,Colorado,India,46-60
CUST0027,Luis,Benjamin,customer27@example.com,4212538956676,2025-07-17,New Brianmouth,Virginia,India,60+
CUST0028,Becky,Moses,customer28@example.com,9327159003250,2024-09-07,Durhambury,Georgia,India,18-25
CUST0029,Erik,Riddle,customer29@example.com,3153862464209,2025-02-22,West Amandaville,Kansas,India,26-35
CUST0030,Charlene,Dickson,customer30@example.com,3431347617691,2025-09-02,West Kyle,Mississippi,India,46-60
CUST0031,Melinda,Hunt,customer31@example.com,7054863158576,2024-02-21,Marshallshire,New Jersey,India,18-25
CUST0032,Brandon,Anderson,customer32@example.com,4586931752366,2023-12-23,North Nicoleport,Oregon,India,26-35
CUST0033,Rebecca,Morales,customer33@example.com,0899459448915,2024-04-28,New Robertbury,Vermont,India,46-60
CUST0034,Ryan,Gross,customer34@example.com,5260096046682,2024-01-16,Johnland,Maine,India,26-35
CUST0035,Emily,Graham,customer35@example.com,0872252406457,2024-07-27,Lake Juliemouth,Maine,India,60+
CUST0036,Joy,Ellis,customer36@example.com,0938713278247,2024-08-15,Fosterside,Maryland,India,26-35
CUST0037,Jordan,Owen,customer37@example.com,0592879524309,2024-01-11,Christophershire,New Jersey,India,46-60
CUST0038,Crystal,Harmon,customer38@example.com,7110277343189,2025-09-24,Johnport,Indiana,India,26-35
CUST0039,Danielle,Thomas,customer39@example.com,6747042103912,2025-07-25,Lake Michelleberg,Massachusetts,India,60+
CUST0040,Gerald,Fisher,customer40@example.com,0467206409732,2025-11-06,Dennisborough,Kentucky,India,36-45
